Название,Метро,Удаленность,Телефон,Сайт,Рейтинг,Парикмахерский зал (женский),Парикмахерский зал (мужской),Ногтевой сервис (женский),Ногтевой сервис (мужской),Ресницы,Шугаринг,Лазерная эпиляция,Элетроэпиляция,Брови,Визажист,Косметология,Перманентный макияж,Массаж,Солярий
Beaty House ,Чкаловская,4 минуты,7 (495) 917-28-15,https://bhsalon.ru/,4.4,1,1,1,1,1,1,0,0,1,1,1,1,,
City Nails,Курская,3 минуты,7(499) 686-18-66,https://citynails.studio/,4.6,1,1,1,1,1,1,0,0,1,1,1,1,1,0
Epilas,Курская,5 минут,7 (800) 22-000-22,https://epilas.ru/services,4.9,0,0,0,0,0,0,1,1,0,0,1,1,1,0
EverGlow,Курская,1 минута,7(499) 113-65-54,https://ever-glow.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,1,0
Beaty Space,Курская,2 минуты,7 (495) 920 09 87,https://www.beautyspace.studio/,4.3,1,1,1,1,1,1,1,0,1,1,0,0,0,1
BeatyQstudio,Курская,3 минуты,7 (969) 777-45-79,https://beautiqstudio.ru/,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beaty House ,Курская,4 минуты,7 (495) 917-28-15,https://bhsalon.ru/,4.4,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Бьюти бар Mira Lova,Проспект мира,1 минута,7 (967) 268-80-83,https://www.miralova.ru,4.7,1,1,1,1,1,1,0,0,1,1,1,0,1,0
Veranda beauty,Проспект мира,5 минут,7 (917) 583-03-05,http://veranda.beautymsk.tilda.ws,4.8,1,0,1,1,1,0,0,0,1,1,1,1,0,0
Kitchen colors,Проспект мира,4 минуты,7 (903) 136-22-07,kitchencolors.ru,4.9,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Top secret,Проспект мира,3 минуты,7 (958) 100-17-46,salon-top-secret.ru,4.6,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Александр Тодчук Studio на проспекте Мира,Проспект мира,9 минут,7 (495) 150-27-84,todchuk.ru,4.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sахар,Проспект мира,3 минуты,7 (495) 665-21-10,салонсахар.рф,4.5,0,0,0,0,1,1,1,1,1,1,0,1,1,1
Доктор Лазер косметология,Проспект мира,5 минут,7 (926) 702-72-20,dlaser.ru,4.6,0,0,0,0,0,0,1,1,0,0,1,1,1,1
Салон красоты UpDo by Diana Simonian,Сухаревская,1 минута,7 (495) 120-29-10,updo.ru,4.5,1,1,1,1,1,0,0,0,1,1,0,0,0,0
Good Karma,Сухаревская,6 минут,7 (939) 111-70-92,goodkarma.moscow,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.11 Beauty space,Сухаревская,3 минуты,7 (925) 874-81-11,taplink.cc/11.11beautyspace,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BeFlight,Сухаревская,5 минут,7 (499) 229-22-12,vk.com/beflight,4.3,1,1,1,1,1,0,0,0,1,1,1,0,1,0
Имидж-студия Гримерка,Сухаревская,8 минут,7 (901) 258-65-97,grimerka.moscow,4.8,1,1,1,1,1,1,0,0,1,1,1,1,1,0
Charme,Сухаревская,5 минут,7 (926) 751-88-20,https://vk.com/charme_studio?ysclid=lnc7qjzhid831970325,4.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LogElen Beauty,Сухаревская,4 минуты,7 (915) 441-34-23,logelenbeauty.ru,4.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Китай-город,,,,,,,,,,,,,,,,,,
,Китай-город,,,,,,,,,,,,,,,,,,
,Китай-город,,,,,,,,,,,,,,,,,,
,Китай-город,,,,,,,,,,,,,,,,,,
,Китай-город,,,,,,,,,,,,,,,,,,
,Китай-город,,,,,,,,,,,,,,,,,,
,Китай-город,,,,,,,,,,,,,,,,,,
,Октябрьская,,,,,,,,,,,,,,,,,,
,Октябрьская,,,,,,,,,,,,,,,,,,
,Октябрьская,,,,,,,,,,,,,,,,,,
,Октябрьская,,,,,,,,,,,,,,,,,,
,Октябрьская,,,,,,,,,,,,,,,,,,
,Октябрьская,,,,,,,,,,,,,,,,,,
,Октябрьская,,,,,,,,,,,,,,,,,,
,Комсомольская,,,,,,,,,,,,,,,,,,
,Комсомольская,,,,,,,,,,,,,,,,,,
,Комсомольская,,,,,,,,,,,,,,,,,,
,Комсомольская,,,,,,,,,,,,,,,,,,
,Комсомольская,,,,,,,,,,,,,,,,,,
,Комсомольская,,,,,,,,,,,,,,,,,,
,Комсомольская,,,,,,,,,,,,,,,,,,
,Красные ворота,,,,,,,,,,,,,,,,,,
,Красные ворота,,,,,,,,,,,,,,,,,,
,Красные ворота,,,,,,,,,,,,,,,,,,
,Красные ворота,,,,,,,,,,,,,,,,,,
,Красные ворота,,,,,,,,,,,,,,,,,,
,Красные ворота,,,,,,,,,,,,,,,,,,
,Красные ворота,,,,,,,,,,,,,,,,,,
Персона,Лубянка,1 минута,7 (499) 490-71-72,persona-city.ru/lubyanka,4.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sахар,Лубянка,7 минут,7 (495) 724-38-51,салонсахар.рф,4.5,0,0,0,0,1,1,1,1,1,1,0,1,1,1
Beauty Lab Store,Лубянка,2 минуты,"7 (926) 100-33-38,",beautylabstore.ru,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Celebrity,Лубянка,1 минута,7 (495) 721-88-35,saloncelebrity.ru,4.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Next Generation Beauty,Лубянка,1 минута,7 (905) 787-22-27,vk.com/nextgenerationbeauty,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Салон красоты Goar Avetisyan,Лубянка,4 минуты,7 (926) 043-59-99,goarbeauty.com,4.3,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Имидж-лаборатория Никольская Club,Лубянка,3 минуты,7 (963) 722-00-66,nikolskayaclub.ru,4.7,1,1,1,1,1,0,0,0,1,1,1,1,1,0
НоготОК,Лубянка,5 минут,7 (968) 949-18-18,nogotok-studio.ru,4.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dry&Go,Лубянка,5 минут,7 (968) 949-18-18,drygo.ru/stylings_bar/lubyanka,4.5,1,1,0,0,1,1,1,1,1,1,1,1,0,0
